CUENTA,DEBITO,CREDITO,DECRIPCION,CENTRO DE COSTO,USUARIO 1,USUARIO 2,TERCERO,PROYECTO 
5.1.01.01.01,1144480.76,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.01.01.02,66950.53,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.01.01,110826.09,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.01.02,12788.52,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.01.03,1030,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.01.04,4375,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.01.05,19982.98,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.01.06,8972.82,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.01.08,11349.04,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.01.09,9189.89,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.01.10,3031.98,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.01.17,838,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.01,9338.79,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.02,11080.44,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.03,14837.88,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.04,6913.71,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.05,16596,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.06,20876.62,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.07,25596.49,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.08,647.8,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.09,3358.2,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.10,9083.4,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.11,14115.13,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.12,8852.48,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.13,5721.27,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.14,435.45,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.15,11137.67,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.16,35216.82,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.17,15163,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.19,291.7,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.20,2597.8,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.21,416.92,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.26,3857.66,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.27,5830.3,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.28,11646.97,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.30,560.38,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.02.31,17306.21,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.03.01,63422.39,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.03.02,8833.29,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.03.03,4182.84,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.03.04,5361.7,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.03.05,5987.56,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.03.06,3140.36,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.03.07,1000.42,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.03.09,90,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.1.02.03.13,1180,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.2.01.01.01,136915.71,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.2.01.01.02,13106.02,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.2.01.01.03,400,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.2.01.01.04,1244,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.2.01.01.05,59168.97,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
5.2.01.01.06,1200,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
