CUENTA,DEBITO,CREDITO,DECRIPCION,CENTRO DE COSTO,USUARIO 1,USUARIO 2,TERCERO,PROYECTO 
1.1.01.01.01,545.66,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.02,653.54,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.04,110.14,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.05,130,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.06,859.65,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.07,109.36,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.08,17164.44,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.09,8863.31,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.10,3783.12,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.11,53192.23,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.12,28.58,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.13,510.75,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.15,419.15,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.16,207.13,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.01.01.17,89.41,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.02.01.01,197131,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.02.01.03,343.41,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.02.03.01,281.36,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.02.03.02,6525.16,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.02.03.03,219.61,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.02.03.10,144.52,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.02.04.01,7980.11,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.02.04.02,147.28,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.02.05.02,22,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.02.05.05,760.97,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.02.05.06,5207.25,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.02.06.01,900,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.03.01.01,85303.67,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.03.02.01,16450.16,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.03.03.01,51742.36,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.03.05.01,1531.05,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.1.05.01.02,117573.05,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.01.01.01,32500,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.01.01.02,112000,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.01.01.03,152040,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.01.02.01,461412.99,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.01.03.01,5968.86,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.01.03.02,1627.34,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.01.04.01,1036263.21,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.01.05.02,25247.01,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.01.06.01,309328.97,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.01.07.01,81326.07,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.01.08.01,50399.89,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.04.01.01.,11109.8,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.04.01.02.,32715.74,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.2.04.01.03.,31749.5,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.3.01.02.01,2990.88,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.3.01.02.02,116.57,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.3.01.02.03,824,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
1.3.01.02.04,166.68,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.01.01.01,155278.61,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.02.01.01,36480.39,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
2.1.02.01.02,34814.04,,CARGA DE SI - BALANCE GENERAL ,CARNIDEM CIA LTDA,,,,
