Versión de tarifa,Valido desde,ID-Producto,Precio Estandar,Precio Tarifa
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0044,16.4,19.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0010,11.8,14.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0045,12.5,15
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0020,16.4,19.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0022,17.3,20.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0021,4.2,5
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0011,13.2,15.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0012,13.9,16.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0013,3.4,4.1
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0019,8.5,10.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0016,8.5,10.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0020,9,10.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0017,9,10.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0018,2.3,2.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0007,10.2,12.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0008,10.8,13
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0009,2.8,3.4
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0004,8.5,10.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0001,8.5,10.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0005,9,10.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0002,9,10.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0006,5.5,6.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0003,2.5,3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0041,7.1,8.5
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0037,7.1,8.5
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0042,7.5,9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0038,7.5,9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0040,2,2.4
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0027,6,7.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0025,6,7.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0028,6.4,7.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0026,6.4,7.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0034,5.6,6.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0036,5.6,6.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0030,3.6,4.3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0024,6.9,8.3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0029,19.2,23
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0003,8.3,9.9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0005,8.3,9.9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0004,2.9,3.5
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGMD-0002,8.7,10.44
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0006,10.7,12.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0007,3.8,4.5
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0001,11,13.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0002,2.8,3.4
