"Secuencia","Nombre","Número de tomas","Tipo de valor","Crítico","Descripción","LCI","VO","LCS"
10,"Lugar entrega (p.05)",1,"Númerico","true","",,,
20,"Personal amable respetuoso y buena actitud:P:0.5",1,"Númerico","true","",,,
30,"Comunicación con el proveedor fluida,sencilla,asertiva (0.5)",1,"Númerico","true","",,,
40,"Carro cerrado y con refrigeración: P:1",1,"Númerico","true","",,,
50,"Carro limpio, libre contam.(P2)",1,"Númerico","true","",,,
60,"Carro exclusivo alimentos(P2)",1,"Númerico","true","",,,
70,"Materia prima sin contacto directo con el piso (P: 1.5)",1,"Númerico","true","",,,
80,"Personal con indumentaria adecuada (P:1)",1,"Númerico","true","",,,
90,"Materia prima cumple con especificaciones visuales (P:1.5)",1,"Númerico","true","",,,
100,"Dia y Hora correctas de recepción: (P.05)",1,"Númerico","true","",,,
110,"Peso y cantidad conforme a lo requerido (P:1)",1,"Númerico","true","",,,
120,"Temperatura carne (5 grados) (P.1)",1,"Númerico","true","",,,
130,"PH Carne (5.6 a 6.2)",1,"Númerico","true","",,,
